# Radiation correction v2.3. Params: lat=41.4652, lon=1.9363, utc_time=2021-07-13 18:09
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
2260, 758.30, 5.33, 88.3, 0.94, 218.4
2280, 756.46, 5.13, 88.7, 0.74, 222.7
2300, 754.62, 4.98, 89.0, 0.50, 195.3
2320, 752.78, 4.80, 89.6, 0.40, 130.2
2340, 750.95, 4.69, 90.2, 0.33, 103.1
2360, 749.12, 4.60, 91.3, 0.42, 168.8
2380, 747.29, 4.57, 92.3, 0.55, 256.9
2400, 745.47, 4.57, 92.8, 1.05, 284.1
2420, 743.66, 4.52, 93.6, 1.44, 295.9
2440, 741.84, 4.47, 93.9, 1.84, 273.4
2460, 740.04, 4.38, 94.2, 2.18, 254.6
2480, 738.23, 4.28, 94.6, 2.42, 246.4
2500, 736.43, 4.26, 94.7, 2.91, 262.7
2520, 734.63, 4.23, 94.9, 3.44, 275.3
2540, 732.84, 4.18, 95.0, 4.43, 289.2
2560, 731.05, 4.12, 95.1, 5.32, 296.5
2580, 729.27, 4.07, 95.1, 5.94, 298.7
2600, 727.49, 4.01, 95.0, 6.94, 303.1
2620, 725.71, 3.96, 94.9, 7.92, 310.5
2640, 723.94, 3.90, 94.8, 9.01, 318.6
2660, 722.17, 3.84, 94.7, 9.69, 318.0
2680, 720.40, 3.73, 94.5, 10.62, 311.2
2700, 718.64, 3.56, 94.1, 11.48, 305.2
2720, 716.88, 3.34, 93.7, 11.81, 306.8
2740, 715.13, 3.16, 93.4, 11.44, 306.6
2760, 713.38, 3.01, 93.1, 11.03, 307.2
2780, 711.63, 2.88, 92.9, 10.26, 308.4
2800, 709.88, 2.73, 92.8, 9.88, 310.5
2820, 708.14, 2.55, 92.7, 9.78, 311.9
2840, 706.40, 2.36, 92.7, 9.65, 313.3
2860, 704.66, 2.17, 92.6, 9.51, 314.7
2880, 702.93, 1.98, 92.6, 9.38, 316.1
2900, 701.20, 1.82, 92.5, 9.35, 317.3
2920, 699.48, 1.64, 92.5, 9.73, 310.0
2940, 697.75, 1.51, 92.4, 9.93, 303.7
2960, 696.03, 1.46, 92.6, 10.00, 310.9
2980, 694.32, 1.44, 93.0, 9.94, 316.8
3000, 692.61, 1.45, 93.4, 9.73, 316.2
3020, 690.90, 1.36, 93.7, 9.61, 319.1
3040, 689.19, 1.14, 93.7, 9.65, 323.3
3060, 687.49, 0.51, 92.7, 10.06, 324.7
3080, 685.78, -0.10, 91.6, 10.46, 324.6
3100, 684.08, -0.37, 91.2, 11.45, 323.0
3120, 682.38, -0.63, 91.0, 13.05, 319.0
3140, 680.69, -0.75, 91.9, 14.36, 304.4
3160, 678.99, -0.73, 92.4, 15.14, 298.5
3180, 677.30, -1.15, 95.8, 9.37, 300.5
3200, 675.61, -1.36, 97.2, 8.74, 299.6
3220, 673.93, -1.50, 97.8, 7.86, 298.1
3240, 672.25, -1.50, 95.7, 8.30, 301.0
3260, 670.57, -1.41, 90.4, 8.63, 304.4
3280, 668.90, -1.35, 82.8, 9.18, 307.4
3300, 667.23, -1.55, 83.0, 9.50, 306.6
3320, 665.56, -1.70, 83.2, 9.72, 305.8
3340, 663.90, -1.85, 83.6, 9.63, 308.2
3360, 662.24, -1.99, 84.0, 9.59, 311.4
3380, 660.58, -2.12, 84.5, 9.58, 313.4
3400, 658.93, -2.33, 85.0, 9.84, 310.9
3420, 657.28, -2.45, 85.5, 10.09, 309.1
3440, 655.64, -2.49, 85.8, 10.24, 308.5
